#,web page 1-381,"Standardized ""species"" header",,
125,KY-125, Acadian flycatcher,,
129,MO-129, Acadian flycatcher,,
369,OR-369, Acorn woodpecker,,
56,VA-56, Alder flycatcher,,
226,OR-226," American crow, black-billed magpie",,
378,OR-378," American crow, spotted towhee",,
234,WY-234, American goldfinch,,
75,KY-75, American redstart,,
79,VA-79, American redstart,,
1,VA-1, American robin,,
53,VA-53, American robin,,
244,WY-244, American robin,,
285,MT-285, American robin,,
296,MT-296, American wigeon,,
177,KS-177, Baltimore oriole,,
250,WY-250, Barn swallow,,
13,MO-13, Barred owl,,
151,MO-151, Bell’s vireo,,
143,MO-143, Belted kingfisher,,
65,VA-65, Bert Snodgrass,,
142,CO-142, Bewick’s wren,,
355,OR-355, Bewick’s wren,,
356,OR-356, Bewick’s wren,,
357,OR-357, Bewick’s wren,,
358,OR-358, Bewick’s wren,,
49,VA-49, Billy Rays Smith,,
74,VA-74, Black-and-white warbler,,
78,VA-78, Black-and-white warbler,,
227,OR-227, Black-billed magpie,,
279,OR-279, Black-billed magpie,,
58,VA-58, Black-capped chickadee,,
182,OR-182, Black-capped chickadee,,
359,OR-359, Black-capped chickadee,,
193,CO-193, Black-headed grosbeak,,
198,CO-198, Black-headed grosbeak,,
325,OR-325," Black-headed grosbeak, warbling vireo",,
47,VA-47, Black-throated blue warbler,,
368,OR-368, Black-throated gray warbler,,
61,VA-61, Black-throated green warbler,,
62,VA-62, Black-throated green warbler,,
10,VA-10, Blue jay,,
24,VA-24, Blue-gray gnatcatcher,,
25,VA-25, Blue-gray gnatcatcher,,
64,VA-64, Blue-headed vireo,,
73,VA-73, Blue-winged warbler,,
77,VA-77, Blue-winged warbler,,
278,MT-278, Bobolink,,
215,CO-215, Brewer’s sparrow,,
216,CO-216, Brewer’s sparrow,,
219,ID-219, Brewer’s sparrow,,
220,ID-220, Brewer’s sparrow,,
203,CO-203, Broad-tailed hummingbird,,
204,CO-204, Broad-tailed hummingbird,,
255,ID-255, Broad-tailed hummingbird,,
59,VA-59, Brown creeper,,
353,OR-353, Brown creeper,,
30,VA-30, Brown thrasher,,
87,VA-87, Brown-headed cowbird,,
115,KY-115, Brown-headed cowbird,,
163,MO-163, Brown-headed cowbird,,
281,MT-281, Brown-headed cowbird,,
190,OR-190, Bullock’s oriole,,
338,OR-338, Bumblebees,,
341,OR-341, Bushtit,,
312,OR-312, California quail,,
52,VA-52, Canada warbler,,
314,OR-314, Canyon wren,,
3,VA-3, Carolina chickadee,,
5,VA-5, Carolina wren,,
263,WY-263, Cassin’s finch,,
264,WY-264, Cassin’s finch,,
188,CO-188, Cassin’s sparrow,,
330,OR-330, Cassin’s vireo,,
282,KS-282, Cattle,,
147,OR-147, Cedar waxwing,,
18,VA-18, Charles Haupt,,
376,OR-376, Chestnut-backed chickadee,,
377,OR-377, Chestnut-backed chickadee,,
40,VA-40, Chestnut-sided warbler,,
41,VA-41, Chestnut-sided warbler,,
42,VA-42, Chestnut-sided warbler,,
43,VA-43, Chestnut-sided warbler,,
149,MO-149, Chickadee hybrids,,
66,VA-66, Chimney swift,,
14,VA-14, Chipping sparrow,,
15,VA-15, Chipping sparrow,,
135,IL-135, Chipping sparrow,,
145,MO-145, Chipping sparrow,,
127,IL-127, Chuck-will’s-widow,,
206,CO-206," Clark’s nutcracker, hermit thrush",,
181,KS-181, Cliff swallow,,
116,VA-116, Common grackle,,
170,OR-170, Common nighthawk,,
268,MT-268, Common raven,,
344,ID-344, Common raven,,
22,VA-22, Common yellowthroat,,
295,OR-295, Common yellowthroat,,
202,ID-202, Cordilleran flycatcher,,
258,WY-258, Daisy geyser,,
63,VA-63, Dark-eyed junco,,
336,OR-336, Dark-eyed junco,,
375,OR-375, Dark-eyed junco,,
251,WY-251," Dark-eyed junco, MacGillivray’s warbler, red-breasted nuthatch, red-naped sapsucker",,
107,IL-107, Dickcissel,,
108,IL-108, Dickcissel,,
109,IL-109, Dickcissel,,
110,IL-110, Dickcissel,,
111,MO-111, Dickcissel,,
112,MO-112, Dickcissel,,
113,MO-113, Dickcissel,,
114,MO-114, Dickcissel,,
154,MO-154, Dickcissel,,
155,MO-155, Dickcissel,,
156,MO-156, Dickcissel,,
157,MO-157, Dickcissel,,
158,MO-158, Dickcissel,,
159,MO-159, Dickcissel,,
160,MO-160, Dickcissel,,
83,KY-83, Dogs!,,
245,WY-245, Dusky flycatcher,,
257,WY-257, Ear spring geyser,,
72,KY-72, Eastern bluebird,,
85,VA-85, Eastern kingbird,,
174,KS-174, Eastern kingbird,,
100,VA-100, Eastern meadowlark,,
161,MO-161, Eastern meadowlark,,
162,KS-162, Eastern meadowlark,,
31,VA-31, Eastern phoebe,,
150,MO-150, Eastern phoebe,,
9,VA-9, Eastern towhee,,
35,VA-35, Eastern towhee,,
37,VA-37, Eastern whip-poor-will,,
134,KY-134, Eastern wood-pewee,,
144,KY-144, Eastern wood-pewee,,
103,KY-103, European starling,,
333,OR-333, European starling,,
19,VA-19, Field sparrow,,
20,VA-20, Field sparrow,,
21,VA-21, Field sparrow,,
39,VA-39, Field sparrow,,
93,KY-93, Field sparrow,,
68,KY-68, Fighting cocks,,
7,VA-7, Fish crow,,
307,ID-307, Fox sparrow,,
345,OR-345, Fox sparrow,,
337,OR-337, Golden-crowned kinglet,,
168,MO-168, Grasshopper sparrow,,
28,VA-28, Gray catbird,,
277,MT-277, Gray catbird,,
324,OR-324, Gray catbird,,
195,CO-195, Gray flycatcher,,
196,CO-196, Gray flycatcher,,
197,CO-197, Gray flycatcher,,
27,VA-27, Great crested flycatcher,,
128,KY-128, Great crested flycatcher,,
173,KS-173, Great crested flycatcher,,
360,OR-360, Great horned owl,,
224,CO-224, Green-tailed towhee,,
259,WY-259, Grotto geyser,,
350,OR-350, Hammond’s flycatcher,,
123,KY-123, Henslow’s sparrow,,
164,MO-164, Henslow’s sparrow,,
165,MO-165, Henslow’s sparrow,,
256,CO-256, Hermit thrush,,
334,OR-334, Hermit thrush,,
347,OR-347, Hermit thrush,,
102,KY-102, High school students,,
76,VA-76, Hooded warbler,,
80,VA-80, Hooded warbler,,
222,CO-222, Horned lark,,
273,ID-273, Horned lark,,
284,CO-284, Horned lark,,
120,KY-120, House finch,,
191,OR-191, House finch,,
12,VA-12, House sparrow,,
104,KY-104, House sparrow,,
139,CO-139, House Sparrow,,
332,OR-332, House sparrow,,
141,VA-141, House wren,,
370,OR-370, Hutton’s vireo,,
95,VA-95, Indigo bunting,,
96,VA-96, Indigo bunting,,
97,IL-97, Indigo bunting,,
45,VA-45," Indigo bunting, hooded warbler",,
34,VA-34, June Curry,,
199,CO-199, Juniper titmouse,,
81,KY-81," Kentucky warbler, hooded warbler",,
136,VA-136, Killdeer,,
184,CO-184, Lark bunting,,
189,CO-189, Lark sparrow,,
8,VA-8, Laughing gull,,
313,OR-313, Lazuli bunting,,
339,OR-339, Lazuli bunting,,
365,OR-365," Lazuli bunting, purple finch, orange-crowned warbler, Wilson’s warbler, warbling vireo, evening grosbeak",,
54,VA-54, Least flycatcher,,
55,VA-55, Least flycatcher,,
238,MT-238," Least flycatcher, gray catbird",,
205,CO-205, Lesser goldfinch,,
299,ID-299, Lewis’s woodpecker,,
213,CO-213, Lincoln’s sparrow,,
290,MT-290, Lincoln’s sparrow,,
71,KY-71, Listening from the bicycle,,
232,CO-232, Loggerhead shrike,,
132,IL-132, Louisiana waterthrush,,
289,MT-289," MacGillivray’s warbler, Clark’s nutcracker",,
230,CO-230, Marsh wren,,
294,MT-294, Marsh wren,,
371,OR-371, Marsh wren,,
84,KY-84, Mary Lou Napier,,
233,CO-233, McCown’s longspur,,
89,KY-89, MORE Dogs!,,
228,CO-228, Mountain bluebird,,
260,WY-260, Mountain bluebird,,
209,CO-209, Mountain chickadee,,
214,CO-214, Mountain chickadee,,
267,WY-267, Mountain chickadee,,
302,ID-302, Nashville warbler,,
119,MO-119, Northern bobwhite,,
26,VA-26, Northern cardinal,,
106,VA-106," Northern cardinal, mourning dove",,
183,KS-183, Northern flicker,,
29,VA-29, Northern mockingbird,,
105,KY-105, Northern mockingbird,,
186,KS-186, Northern mockingbird,,
46,VA-46, Northern parula,,
90,KY-90, Northern parula,,
131,IL-131, Northern parula,,
288,MT-288," Northern waterthrush, black-capped chickadee, yellow warbler",,
172,KS-172, Oil well pump,,
241,CO-241, Olive-sided flycatcher,,
348,MT-348, Olive-sided flycatcher,,
361,OR-361, Orange-crowned warbler,,
92,KY-92, Orchard oriole,,
146,IL-146, Orchard oriole,,
297,MT-297, Osprey,,
48,VA-48, Ovenbird,,
293,OR-293, Pacific wren,,
300,OR-300, Pacific wren,,
362,OR-362, Pacific-slope flycatcher,,
179,OR-179, Pied-billed grebe,,
16,VA-16, Pileated woodpecker,,
70,VA-70, Pileated woodpecker,,
240,WY-240, Pine siskin,,
140,MO-140, Pine warbler,,
208,CO-208, Pinyon jay,,
200,CO-200, Plumbeous vireo,,
32,VA-32, Prairie warbler,,
33,VA-33, Prairie warbler,,
118,IL-118, Prothonotary warbler,,
126,IL-126, Purple martin ,,
252,WY-252, Red crossbill,,
137,VA-137, Red-bellied woodpecker,,
60,VA-60, Red-breasted nuthatch,,
367,OR-367, Red-breasted sapsucker,,
11,VA-11, Red-eyed vireo,,
291,MT-291, Red-naped sapsucker,,
366,OR-366, Red-tailed hawk,,
101,IL-101, Red-winged blackbird,,
138,IL-138, Red-winged blackbird,,
317,CO-317, Red-winged blackbird,,
117,KY-117, Reverend James Love,,
185,CO-185, Rock wren,,
223,ID-223, Rock wren,,
274,WY-274, Rock wren,,
329,OR-329," Rock wren, lazuli bunting",,
169,MO-169," Rose-breasted grosbeak, Baltimore oriole",,
210,CO-210, Ruby-crowned kinglet,,
265,WY-265, Ruby-crowned kinglet,,
305,ID-305, Ruffed grouse,,
