1,#,state-#,1 = primary; 2 = (bkgd),Species only (deleted all recording info from column E),Species and Locations (redundant info; leave as is),Family Name,"Taxon group--full length from ""Web--Listen by species"" for LISTEN BY SPECIES web page",Taxon group--shortened for 2nd line of THIS RECORDING on 381 web pages,"Location--full length from file ""Web--Listen by state"" for LISTEN BY STATE",Location--shortened for first line of THIS RECORDING for 381 web pages,,Location--shortened for first line of THIS RECORDING for 381 web pages; EXPERIMENTAL; DO NOT USE THIS COLUMN
3,1,VA-1,2,Fish crow ,"Fish crow (VA-1), VA-7",Corvidae,Jays and crows,Jays and crows,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
2,1,VA-1,1,American robin ,"American robin VA-1, VA-53, WY-244, MT-285, (ID-298)",Turdidae,Thrushes,Thrushes,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
4,2,VA-2,1,Wood thrush,"Wood thrush VA-2, VA-36",Turdidae,Thrushes,Thrushes,"Eastern Virginia, from History to the Blue Ridge ",Eastern Virginia,"Virginia: Eastern, from History to the Blue Ridge ",Eastern VA
5,3,VA-3,1,Carolina chickadee ,Carolina chickadee VA-3,Paridae,"Chickadees, titmouse","Chickadees, titmouse","Eastern Virginia, from History to the Blue Ridge ",Eastern Virginia,"Virginia: Eastern, from History to the Blue Ridge ",Eastern VA
6,4,VA-4,1,Tufted titmouse ,"Tufted titmouse VA-4, (KY-121), (MO-149)",Paridae ,"Chickadees, titmouse","Chickadees, titmouse","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
7,5,VA-5,1,Carolina wren ,"Carolina wren VA-5, (KY-71)",Troglodytidae,Wrens,Wrens,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
9,6,VA-6,2,Laughing gull ,"Laughing gull (VA-6), VA-8",Laridae,"Shorebirds, gulls, guillemots","Shorebirds, gulls, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
8,6,VA-6,1,Seaside sparrow,Seaside sparrow VA-6,Emberizidae,Sparrows,Sparrows,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
10,7,VA-7,1,Fish crow ,"Fish crow (VA-1), VA-7",Corvidae,Jays and crows,Jays and crows,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
11,7,VA-7,2,Northern mockingbird ,"Northern mockingbird (VA-7), VA-29, KY-105, KS-186",Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
12,8,VA-8,1,Laughing gull ,"Laughing gull (VA-6), VA-8",Laridae,"Shorebirds, gulls, guillemots","Shorebirds, gulls, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
13,8,VA-8,2,Willet ,"Willet (VA-8), (WY-274), (OR-342)",Scolopacidae,"Shorebirds, gulls, guillemots","Shorebirds, gulls, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
14,9,VA-9,1,Eastern towhee ,"Eastern towhee VA-9, VA-35, (VA-39)",Emberizidae,Sparrows,Sparrows,"Appalachia, Virginia and Kentucky ",Appalachia,Virginia and Kentucky: Appalachia,"Appalachia, VA & KY"
15,10,VA-10,2,Yellow-billed cuckoo ,Yellow-billed cuckoo (VA-10),Cuculidae,"Doves, cuckoos","Doves, cuckoos","Eastern Virginia, from History to the Blue Ridge ",Eastern Virginia,"Virginia: Eastern, from History to the Blue Ridge ",Eastern VA
16,10,VA-10,1,Blue jay ,Blue jay VA-10,Corvidae,Jays and crows,Jays and crows,"Eastern Virginia, from History to the Blue Ridge ",Eastern Virginia,"Virginia: Eastern, from History to the Blue Ridge ",Eastern VA
17,11,VA-11,1,Red-eyed vireo,"Red-eyed vireo VA-11, (VA-137)",Vireonidae,"Shrikes, vireos","Shrikes, vireos","Appalachia, Virginia and Kentucky ",Appalachia,Virginia and Kentucky: Appalachia,"Appalachia, VA & KY"
18,12,VA-12,1,House Sparrow ,"House Sparrow VA-12, KY-104, CO-139, OR-332",Emberizidae,"Finches, house sparrow","Finches, house sparrow","Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
20,13,MO-13,2,Eastern wood-pewee ,"Eastern wood-pewee (MO-13), KY-134, KY-144",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
19,13,VA-13,1,Barred owl ,Barred owl MO-13,Strigidae,Owls,Owls,"Prairie State Park, Missouri ","Prairie State Park, Missouri",Missouri: Prairie State Park,"Prairie State Park, MO"
21,14,VA-14,1,Chipping sparrow,"Chipping sparrow VA-14, VA-15, (VA-85), IL-135, MO-145, (IL-146), (WY-247)",Emberizidae,Sparrows,Sparrows,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
22,15,VA-15,1,Chipping sparrow ,"Chipping sparrow VA-14, VA-15, (VA-85), IL-135, MO-145, (IL-146), (WY-247)",Emberizidae,Sparrows,Sparrows,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
23,16,VA-16,1,Pileated woodpecker,"Pileated woodpecker VA-16, (VA-36), VA-70, (KY-134), (ID-304)",Picidae,"Kingfisher, woodpeckers","Kingfisher, woodpeckers","Appalachia, Virginia and Kentucky ",Appalachia,Virginia and Kentucky: Appalachia,"Appalachia, VA & KY"
24,17,VA-17,1,White-throated sparrow ,White-throated sparrow VA-17,Emberizidae,Sparrows,Sparrows,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
26,18,VA-18,1,Purple martin ,"Purple martin VA-18, (IL-88), IL-126, (OR-201)",Hirundinidae,"Larks, swallows","Larks, swallows","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
25,18,VA-18,1,Charles Haupt,Charles Haupt VA-18,People,People,People,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
27,19,VA-19,1,Field sparrow ,"Field sparrow VA-19, VA-20, VA-21, (VA-23), VA-39, KY-93",Emberizidae,Sparrows,Sparrows,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
28,20,VA-20,1,Field sparrow,"Field sparrow VA-19, VA-20, VA-21, (VA-23), VA-39, KY-93",Emberizidae,Sparrows,Sparrows,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
30,21,VA-21,2,Summer tanager ,"Summer tanager (VA-21), VA-23, (IL-88), MO-122, IL-130",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
29,21,VA-21,1,Field sparrow ,"Field sparrow VA-19, VA-20, VA-21, (VA-23), VA-39, KY-93",Emberizidae,Sparrows,Sparrows,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
32,22,VA-22,2,Gray catbird,"Gray catbird (VA-22), VA-28, MT-238, MT-277, OR-324",Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
31,22,VA-22,1,Common yellowthroat ,"Common yellowthroat VA-22, OR-295",Parulidae,Warblers,Warblers,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
33,23,VA-23,1,Summer tanager ,"Summer tanager (VA-21), VA-23, (IL-88), MO-122, IL-130",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
34,23,VA-23,2,Field sparrow ,"Field sparrow VA-19, VA-20, VA-21, (VA-23), VA-39, KY-93",Emberizidae,Sparrows,Sparrows,"Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
35,24,VA-24,1,Blue-gray Gnatcatcher ,"Blue-gray Gnatcatcher VA-24, VA-25",Polioptilidae,"Gnatcatchers, kinglets, wrentit","Gnatcatchers, kinglets, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
37,25,VA-25,2,Mourning dove ,"Mourning dove (VA-25), VA-106, CO-326",Columbidae,"Doves, cuckoos","Doves, cuckoos","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
36,25,VA-25,1,Blue-gray Gnatcatcher ,"Blue-gray Gnatcatcher VA-24, VA-25",Polioptilidae,"Gnatcatchers, kinglets, wrentit","Gnatcatchers, kinglets, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
38,26,VA-26,1,Northern cardinal ,"Northern cardinal VA-26, (VA-37), VA-106, (IL-127), (IL-146)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
39,27,VA-27,1,Great crested flycatcher ,"Great crested flycatcher VA-27, (VA-37), KY-128, (VA-137), KS-173, (KS-175), (KS-177)",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Eastern Virginia, from History to the Blue Ridge ",Eastern Virginia,"Virginia: Eastern, from History to the Blue Ridge ",Eastern VA
40,28,VA-28,1,Gray catbird ,"Gray catbird (VA-22), VA-28, MT-238, MT-277, OR-324",Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +",Mt. Rogers and Highlands of Virginia , Virginia highlands,Virginia: Mt. Rogers and Highlands ,Highlands of VA
41,29,VA-29,1,Northern mockingbird ,"Northern mockingbird (VA-7), VA-29, KY-105, KS-186",Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +","Historical, coastal Virginia ",Coastal Virginia,"Virginia: Historical, Coastal ",Coastal VA
42,30,VA-30,1,Brown thrasher ,"Brown thrasher VA-30, (MO-163)",Mimidae,"Mockingbirds, catbirds, thrashers, starlings","Mockingbirds, starlings, +","Appalachia, Virginia and Kentucky ",Appalachia,Virginia and Kentucky: Appalachia,"Appalachia, VA & KY"
43,31,VA-31,1,Eastern phoebe ,"Eastern phoebe VA-31, MO-150",Tyrannidae,Flycatchers (and cotinga),"Flycatchers, cotinga","Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
44,31,VA-31,2,Black-and-white warbler,"Black-and-white warbler (VA-31), VA-74, VA-78",Parulidae,Warblers,Warblers,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
45,32,VA-32,1,Prairie warbler,"Prairie warbler VA-32, VA-33",Parulidae,Warblers,Warblers,"Eastern Virginia, from History to the Blue Ridge ",Eastern Virginia,"Virginia: Eastern, from History to the Blue Ridge ",Eastern VA
47,33,VA-33,2,Indigo bunting,"Indigo bunting (VA-33), VA-45, (IL-88), VA-95, VA-96, IL-97, (IL-127)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Eastern Virginia, from History to the Blue Ridge ",Eastern Virginia,"Virginia: Eastern, from History to the Blue Ridge ",Eastern VA
46,33,VA-33,1,Prairie warbler ,"Prairie warbler VA-32, VA-33",Parulidae,Warblers,Warblers,"Eastern Virginia, from History to the Blue Ridge ",Eastern Virginia,"Virginia: Eastern, from History to the Blue Ridge ",Eastern VA
48,34,VA-34,1,June Curry ,June Curry VA-34,People,People,People,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
49,35,VA-35,2,American woodcock ,American woodcock (VA-35),Scolopacidae,"Shorebirds, gulls, guillemots","Shorebirds, gulls, +","Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
50,35,VA-35,1,Eastern towhee,"Eastern towhee VA-9, VA-35, (VA-39)",Emberizidae,Sparrows,Sparrows,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
52,36,VA-36,2,Pileated woodpecker ,"Pileated woodpecker VA-16, (VA-36), VA-70, (KY-134), (ID-304)",Picidae,"Kingfisher, woodpeckers","Kingfisher, woodpeckers","Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
51,36,VA-36,1,Wood thrush ,"Wood thrush VA-2, VA-36",Turdidae,Thrushes,Thrushes,"Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
55,37,VA-37,2,Northern cardinal ,"Northern cardinal VA-26, (VA-37), VA-106, (IL-127), (IL-146)",Cardinalidae,"Cardinals, tanagers, grosbeaks, buntings","Cardinals, tanagers, +","Blue Ridge Parkway, Virginia ","Blue Ridge, Virginia",Virginia: Blue Ridge Parkway,"Blue Ridge, VA"
