Filename,Number,Key,Order_on_Page,Notes
001.1460_AmRo_VAe,1,VA-1,1,
002.1440_WoTh_VAe,2,VA-2,1,
003.0935_CaCh_VAe,3,VA-3,1,
004.1050_TuTi_VAe,4,VA-4,1,
005.1160_CaWr_VAe,5,VA-5,1,
006.2641_SeSp_VAe,6,VA-6,1,
007.0840_FiCr_VAe,7,VA-7,1,
008.0150_LaGu_VA,8,VA-8,1,
009.2410_EaTo_VK,9,VA-9,1,
010.0775_BlJa_VAe,10,VA-10,1,
011.0755_ReVi_VK,11,VA-11,1,
012.3550_HoSp_VAe,12,VA-12,1,
013.0170_BaOw_MOe,13,MO-13,1,
014.2436_ChSp_VA,14,VA-14,1,
015.2437_Chsp_VA,15,VA-15,1,
016.0310_PiWo_VK,16,VA-16,1,
017.2710_WtSp_VA,17,VA-17,1,
018.3620_Haupt_VA,18,VA-18,1,
019.2525_Fisp_VA,19,VA-19,1,
020.2520_Fisp_VA,20,VA-20,1,
021.2530_Fisp_VA,21,VA-21,1,
022.2168_CoYe_VA,22,VA-22,1,
023.2795_SuTa_VA,23,VA-23,1,
024.1305a_BgGn_VA,24,VA-24,1,
025.1305b_BgGn_VA,25,VA-25,1,
026.2925B_NoCa_VA,26,VA-26,1,
027.0545_GcFl_VA,27,VA-27,1,
027.1.0545_GcFl_VA--test deletions,27.1,VA-27,2,"does not have its own web page; link included on another web page (VA-27); I'll have to enter this link manually into the ""text main"" file; will do so for 27.1 and others when I learn the proper link; will just want the sound to play"
028.1530_GrCa_VA,28,VA-28,1,
029.1555_NoMo_VA,29,VA-29,1,
030.1590_BrTh_VK,30,VA-30,1,
031.0515_EaPh_VA,31,VA-31,1,Need another copy of this file
032.1960_PrWa_VA,32,VA-32,1,
033.1962_PrWa_VA,33,VA-33,1,
034.3630_Cookie_VA,34,VA-34,1,
035.2395_EaTo_VA,35,VA-35,1,
036.1445_WoTh_VA,36,VA-36,1,
037.0200_Whip_VA,37,VA-37,1,
038.2835_ScTa_VA,38,VA-38,1,
039.2535_Fisp_VA,39,VA-39,1,
040.1800_CsWa_VA,40,VA-40,1,
041.1805_CsWa_VA,41,VA-41,1,
042.1810_CsWa_VA,42,VA-42,1,
043.1825_CsWa_VA,43,VA-43,1,
044.1935_YtWa_KY,44,KY-44,1,
045.2205_HoWa_VA,45,VA-45,1,
046.1695_NoPa_VA,46,VA-46,1,
047.1860_BtBw_VA,47,VA-47,1,
048.2060_Oven_VA,48,VA-48,1,
049.3635_BillyRay_VA,49,VA-49,1,
050.2660_SoSp_VA,50,VA-50,1,
051.1360_Veer_VA,51,VA-51,1,
052.12Y06M10-T205,52,VA-52,1,
053.1475_AmRo_VK,53,VA-53,1,
054.0435_LeFl_VA,54,VA-54,1,
055.0440_LeFl_VA,55,VA-55,1,
056.0405_AlFl_VA,56,VA-56,1,
057.1245_WiWr_VA,57,VA-57,1,
058.0965_BcCh_VA,58,VA-58,1,
059.1115_BrCr_VA,59,VA-59,1,
060.1085_RbNu_VA,60,VA-60,1,
061.1890_BtGnW_VA,61,VA-61,1,
062.1895_ BtGnW_VA,62,VA-62,1,
063.2745 50 55 60_DeJu_VA,63,VA-63,1,
064.0700_BhVi_VA,64,VA-64,1,
065.3645_Bert_VKb,65,VA-65,1,
066.0215_ChSw_VA,66,VA-66,1,
067.3655_Owens_VK,67,VA-67,1,
068.0034 2004MD125c--fighting cocks,68,KY-68,1,
069.1775_YeWa_WY,69,WY-69,1,
070.0305_PiWo_VK,70,VA-70,1,
071.3720_sndscpe_VKb,71,KY-71,1,
072.1325_EaBl_VK,72,KY-72,1,
073.1655_BlWa_VK,73,VA-73,1,
074.1975_B&WWa_VA,74,VA-74,1,
075.2005_AmRe_KY,75,KY-75,1,
076.2210_HoWa_VA,76,VA-76,1,
077.1650_BlWa_VK,77,VA-77,1,
078.1980_B&WWa_VA,78,VA-78,1,
079.1995_AmRe_VA,79,VA-79,1,
080.2200_HoWa_VA,80,VA-80,1,
081.2130_KeWa_KY,81,KY-81,1,
082.0410_WiFl_KY,82,KY-82,1,
083.3570_dog_VK,83,KY-83,1,
084.3660_Napier_VK,84,KY-84,1,
085.0590_EaKi_VA,85,VA-85,1,
086.2265_YbCh_KY,86,KY-86,1,
087.3320_BhCo_VA,87,VA-87,1,
088.2270_YbCh_IL,88,IL-88,1,
089.3585b_dog_KY,89,KY-89,1,
090.1720_NoPa_KY,90,KY-90,1,
091.2860_ScTa_KY,91,KY-91,1,
092.3405_OrOr_VK,92,KY-92,1,
093.2545_Fisp_KY,93,KY-93,1,
094.1765_YeWa_IL,94,IL-94,1,
095.3050_InBu_VA--male 1,95,VA-95,1,
096.3050_InBu_VA--male 2,96,VA-96,1,
097.3080_InBu_IL,97,IL-97,1,
098.0630_WeVi_KY,98,KY-98,1,
099.12Y05M06-T1715,99,KY-99,1,
100.3230_EaMe_VA,100,VA-100,1,
101.3200_RwBl_IM-1--shortened,101,IL-101,1,
102.3670_stnds_KYb,102,KY-102,1,
103.14Y04M30_T307--1 song,103,KY-103,1,
104.1.3555_HoSp_KY,104.1,KY-104,2,
104.3555_HoSp_KY-2,104,KY-104,1,
105.2004MD141a-edited,105,KY-105,1,
106.2920_NoCa_VA,106,VA-106,1,
107.3085_Dick_IL,107,IL-107,1,
108.3115_Dick_IM,108,IL-108,1,
109.3120_Dick_IM,109,IL-109,1,
110.3125_Dick_IM,110,IL-110,1,
111.3110_Dick_IM,111,MO-111,1,
112.3095_Dick_IM,112,MO-112,1,
113.3100_Dick_IM,113,MO-113,1,
114.3105_Dick_IM,114,MO-114,1,
115.3325_BhCo_KY,115,KY-115,1,
116.3300_CoGr_VA,116,VA-116,1,
117.3685_Love_KY,117,KY-117,1,
118.2010_PrnWa_IL,118,IL-118,1,
119.0030_NoBo_MO,119,MO-119,1,
120.3495_HoFi_KY,120,KY-120,1,
121.1.1260b_SeWr_KY--4 songs,121.1,KY-121,2,
121.1260b_SeWr_KY,121,KY-121,1,
