table organizer,state or geographic region,Revised state or geographic region (I don't think this is used),Rank of state,Species group,Rank of species group,Species,Species rank
1,"Historical, coastal Virginia ","Virginia: Historical, Coastal ",1,"Ducks, geese",1,Canada goose,1
2,"Eastern Virginia, from History to the Blue Ridge ","Virginia: Eastern, from History to the Blue Ridge ",2,"Quail, grouse, pheasants",2,American wigeon ,2
3,"Blue Ridge Parkway, Virginia ",Virginia: Blue Ridge Parkway,3,Grebes,3,California quail ,3
4,Mt. Rogers and Highlands of Virginia ,Virginia: Mt. Rogers and Highlands ,4,"Osprey, hawks",4,Northern bobwhite,4
5,"Appalachia, Virginia and Kentucky ",Virginia and Kentucky: Appalachia,5,"Rails, cranes",5,Fighting cock,5
6,Central and Western Kentucky ,Kentucky: Central and Western,6,"Shorebirds, gulls, guillemots",6,Ring-necked pheasant ,6
7,Illinois (Shawnee National Forest) ,Illinois: Shawnee National Forest ,7,"Doves, cuckoos",7,Ruffed grouse ,7
8,Illinois (Ferne Clyffe State Park) ,Illinois: Ferne Clyffe State Park,8,Owls,8,Wild turkey,8
9,Illinois (beside the Mississippi River) ,Illinois: Beside the Mississippi River ,9,Nightjars,9,Pied-billed grebe ,9
10,Ozarks of Missouri ,Missouri: The Ozarks,10,"Swifts, hummingbirds",10,Western grebe,10
11,"Prairie State Park, Missouri ",Missouri: Prairie State Park,11,"Kingfisher, woodpeckers",11,Osprey,11
12,Kansas,Kansas,12,Flycatchers (and cotinga),12,Red-tailed hawk,12
13,"Short grass prairie, Kansas and Colorado",Kansas and Colorado: Short Grass Prairie,13,"Shrikes, vireos",13,Virginia rail,13
14,"Climbing the Rockies, Colorado ",Colorado: Riding the Rockies,14,Jays and crows,14,Sora ,14
15,"Sage country, Colorado and Wyoming ",Colorado and Wyoming: Sage Country,15,"Larks, swallows",15,American coot ,15
16,"Grand Teton National Park, Wyoming ",Wyoming: Grand Teton National Park,16,"Chickadees, titmouse",16,Sandhill crane ,16
17,"Yellowstone National Park, Wyoming ",Wyoming: Yellowstone National Park,17,"Bushtit, nuthatches, creepers",17,Black oystercatcher,17
18,Montana (general) ,Montana: General,18,Wrens,18,Killdeer,18
19,"Big Hole National Battlefield, and Chief Joseph Pass, Montana ","Montana: Big Hole National Battlefield, Chief Joseph Pass",19,"Gnatcatchers, kinglets, wrentit",19,Spotted sandpiper,19
20,Idaho ,Idaho ,20,Thrushes,20,Willet ,20
21,"Hell's Canyon, Idaho and Oregon ",Idaho and Oregon: Hell's Canyon,21,"Mockingbirds, catbirds, thrashers, starlings",21,Upland sandpiper ,21
22,Eastern Oregon ,Oregon: Eastern ,22,"Waxwing, longspur",22,Wilson's snipe ,22
